"group","location","site_id","x_centre_4326","y_centre_4326","xmin_4326","ymin_4326","xmax_4326","ymax_4326","xmin_3577","ymin_3577","xmax_3577","ymax_3577","image_id","image_date","image_count","QC_notes"
"NSW Hovells Creek","South of Chudleigh",5,148.8693222,-34.18635833,148.863202,-34.191396,148.875442,-34.18132,1542641.098,-3834045.821,1543641.098,-3833045.821,"20131031",2013-10-31,1,NA
"NSW Hovells Creek","South of Chudleigh",5,148.8693222,-34.18635833,148.863202,-34.191396,148.875442,-34.18132,1542641.098,-3834045.821,1543641.098,-3833045.821,"20200524",2020-05-24,1,NA
"NSW Hovells Creek","South of Chudleigh",5,148.8693222,-34.18635833,148.863202,-34.191396,148.875442,-34.18132,1542641.098,-3834045.821,1543641.098,-3833045.821,"20131029",2013-10-29,1,NA
"NSW Hovells Creek","South of Chudleigh",5,148.8693222,-34.18635833,148.863202,-34.191396,148.875442,-34.18132,1542641.098,-3834045.821,1543641.098,-3833045.821,"20130123",2013-01-23,1,NA
"NSW Hovells Creek","South of Chudleigh",5,148.8693222,-34.18635833,148.863202,-34.191396,148.875442,-34.18132,1542641.098,-3834045.821,1543641.098,-3833045.821,"20131010",2013-10-10,1,NA
"NSW Hovells Creek","South of Chudleigh",5,148.8693222,-34.18635833,148.863202,-34.191396,148.875442,-34.18132,1542641.098,-3834045.821,1543641.098,-3833045.821,"20130123",2013-01-23,1,NA
"NSW Boorowa to Yass","S of Boorowa per book",6,148.7243028,-34.50974167,148.71817,-34.514779,148.730437,-34.504705,1524748.208,-3868024.365,1525748.208,-3867024.365,"20230310",2023-03-10,1,NA
"NSW Boorowa to Yass","S of Boorowa per book",6,148.7243028,-34.50974167,148.71817,-34.514779,148.730437,-34.504705,1524748.208,-3868024.365,1525748.208,-3867024.365,"20210113",2021-01-13,1,NA
"NSW Boorowa to Yass","S of Boorowa per book",6,148.7243028,-34.50974167,148.71817,-34.514779,148.730437,-34.504705,1524748.208,-3868024.365,1525748.208,-3867024.365,"20201014",2020-10-14,1,NA
"NSW Boorowa to Yass","S of Boorowa per book",6,148.7243028,-34.50974167,148.71817,-34.514779,148.730437,-34.504705,1524748.208,-3868024.365,1525748.208,-3867024.365,"20181119",2018-11-19,1,NA
"NSW Boorowa to Yass","S of Boorowa per book",6,148.7243028,-34.50974167,148.71817,-34.514779,148.730437,-34.504705,1524748.208,-3868024.365,1525748.208,-3867024.365,"20171113",2017-11-13,1,NA
"NSW Boorowa to Yass","S of Boorowa per book",6,148.7243028,-34.50974167,148.71817,-34.514779,148.730437,-34.504705,1524748.208,-3868024.365,1525748.208,-3867024.365,"20161209",2016-12-09,1,NA
"NSW Boorowa to Yass","S of Boorowa per book",6,148.7243028,-34.50974167,148.71817,-34.514779,148.730437,-34.504705,1524748.208,-3868024.365,1525748.208,-3867024.365,"20131030",2013-10-30,1,NA
"NSW Boorowa to Yass","S of Boorowa per book",6,148.7243028,-34.50974167,148.71817,-34.514779,148.730437,-34.504705,1524748.208,-3868024.365,1525748.208,-3867024.365,"20230309",2023-03-09,1,NA
"NSW Boorowa to Yass","S of Boorowa per book",6,148.7243028,-34.50974167,148.71817,-34.514779,148.730437,-34.504705,1524748.208,-3868024.365,1525748.208,-3867024.365,"20201021",2020-10-21,1,NA
"NSW Boorowa to Yass","S of Boorowa per book",6,148.7243028,-34.50974167,148.71817,-34.514779,148.730437,-34.504705,1524748.208,-3868024.365,1525748.208,-3867024.365,"20200929",2020-09-29,1,NA
"NSW Boorowa to Yass","S of Boorowa per book",6,148.7243028,-34.50974167,148.71817,-34.514779,148.730437,-34.504705,1524748.208,-3868024.365,1525748.208,-3867024.365,"20181118",2018-11-18,1,NA
"NSW Boorowa to Yass","S of Boorowa per book",6,148.7243028,-34.50974167,148.71817,-34.514779,148.730437,-34.504705,1524748.208,-3868024.365,1525748.208,-3867024.365,"20171030",2017-10-30,1,NA
"NSW Boorowa to Yass","S of Boorowa per book",6,148.7243028,-34.50974167,148.71817,-34.514779,148.730437,-34.504705,1524748.208,-3868024.365,1525748.208,-3867024.365,"20161107",2016-11-07,1,NA
"NSW Boorowa to Yass","S of Boorowa per book",6,148.7243028,-34.50974167,148.71817,-34.514779,148.730437,-34.504705,1524748.208,-3868024.365,1525748.208,-3867024.365,"20131010",2013-10-10,1,"very dark"
"NSW Boorowa to Yass","S of Boorowa per book",6,148.7243028,-34.50974167,148.71817,-34.514779,148.730437,-34.504705,1524748.208,-3868024.365,1525748.208,-3867024.365,"20200923",2020-09-23,1,"cloud"
"NSW Boorowa to Yass","S of Boorowa per book",6,148.7243028,-34.50974167,148.71817,-34.514779,148.730437,-34.504705,1524748.208,-3868024.365,1525748.208,-3867024.365,"20181006",2018-10-06,1,NA
"NSW Boorowa to Yass","S of Boorowa per book",6,148.7243028,-34.50974167,148.71817,-34.514779,148.730437,-34.504705,1524748.208,-3868024.365,1525748.208,-3867024.365,"20161103",2016-11-03,1,NA
"NSW Boorowa to Yass","S of Boorowa per book",6,148.7243028,-34.50974167,148.71817,-34.514779,148.730437,-34.504705,1524748.208,-3868024.365,1525748.208,-3867024.365,"20200906",2020-09-06,1,NA
"NSW Boorowa to Yass","S of Boorowa per book",6,148.7243028,-34.50974167,148.71817,-34.514779,148.730437,-34.504705,1524748.208,-3868024.365,1525748.208,-3867024.365,"20161102",2016-11-02,1,NA
"NSW Boorowa to Yass","S of Boorowa per book",6,148.7243028,-34.50974167,148.71817,-34.514779,148.730437,-34.504705,1524748.208,-3868024.365,1525748.208,-3867024.365,"20200320",2020-03-20,1,NA
"NSW Boorowa to Yass","S of Boorowa per book",6,148.7243028,-34.50974167,148.71817,-34.514779,148.730437,-34.504705,1524748.208,-3868024.365,1525748.208,-3867024.365,"20161025",2016-10-25,1,NA
"NSW Boorowa to Yass","S of Boorowa per book",6,148.7243028,-34.50974167,148.71817,-34.514779,148.730437,-34.504705,1524748.208,-3868024.365,1525748.208,-3867024.365,"20161018",2016-10-18,1,NA
"NSW Boorowa to Yass","S of Boorowa per book",6,148.7243028,-34.50974167,148.71817,-34.514779,148.730437,-34.504705,1524748.208,-3868024.365,1525748.208,-3867024.365,"20161014",2016-10-14,1,NA
"NSW Boorowa to Yass","S of Boorowa per book",6,148.7243028,-34.50974167,148.71817,-34.514779,148.730437,-34.504705,1524748.208,-3868024.365,1525748.208,-3867024.365,"20161013",2016-10-13,1,NA
"NSW Boorowa to Yass","S of Boorowa per book",6,148.7243028,-34.50974167,148.71817,-34.514779,148.730437,-34.504705,1524748.208,-3868024.365,1525748.208,-3867024.365,"20161008",2016-10-08,1,NA
"NSW Boorowa to Yass","Near 2 cuttings",7,148.7300361,-34.56030278,148.723899,-34.56534,148.736173,-34.555265,1524532.759,-3873675.714,1525532.759,-3872675.714,"20230310",2023-03-10,1,NA
"NSW Boorowa to Yass","Near 2 cuttings",7,148.7300361,-34.56030278,148.723899,-34.56534,148.736173,-34.555265,1524532.759,-3873675.714,1525532.759,-3872675.714,"20210113",2021-01-13,1,NA
"NSW Boorowa to Yass","Near 2 cuttings",7,148.7300361,-34.56030278,148.723899,-34.56534,148.736173,-34.555265,1524532.759,-3873675.714,1525532.759,-3872675.714,"20200906",2020-09-06,1,NA
"NSW Boorowa to Yass","Near 2 cuttings",7,148.7300361,-34.56030278,148.723899,-34.56534,148.736173,-34.555265,1524532.759,-3873675.714,1525532.759,-3872675.714,"20181119",2018-11-19,1,NA
"NSW Boorowa to Yass","Near 2 cuttings",7,148.7300361,-34.56030278,148.723899,-34.56534,148.736173,-34.555265,1524532.759,-3873675.714,1525532.759,-3872675.714,"20171113",2017-11-13,1,NA
"NSW Boorowa to Yass","Near 2 cuttings",7,148.7300361,-34.56030278,148.723899,-34.56534,148.736173,-34.555265,1524532.759,-3873675.714,1525532.759,-3872675.714,"20161209",2016-12-09,1,"cloud"
"NSW Boorowa to Yass","Near 2 cuttings",7,148.7300361,-34.56030278,148.723899,-34.56534,148.736173,-34.555265,1524532.759,-3873675.714,1525532.759,-3872675.714,"20131030",2013-10-30,1,NA
"NSW Boorowa to Yass","Near 2 cuttings",7,148.7300361,-34.56030278,148.723899,-34.56534,148.736173,-34.555265,1524532.759,-3873675.714,1525532.759,-3872675.714,"20230309",2023-03-09,1,NA
"NSW Boorowa to Yass","Near 2 cuttings",7,148.7300361,-34.56030278,148.723899,-34.56534,148.736173,-34.555265,1524532.759,-3873675.714,1525532.759,-3872675.714,"20200320",2020-03-20,1,NA
"NSW Boorowa to Yass","Near 2 cuttings",7,148.7300361,-34.56030278,148.723899,-34.56534,148.736173,-34.555265,1524532.759,-3873675.714,1525532.759,-3872675.714,"20181118",2018-11-18,1,NA
"NSW Boorowa to Yass","Near 2 cuttings",7,148.7300361,-34.56030278,148.723899,-34.56534,148.736173,-34.555265,1524532.759,-3873675.714,1525532.759,-3872675.714,"20171030",2017-10-30,1,NA
"NSW Boorowa to Yass","Near 2 cuttings",7,148.7300361,-34.56030278,148.723899,-34.56534,148.736173,-34.555265,1524532.759,-3873675.714,1525532.759,-3872675.714,"20161107",2016-11-07,1,NA
"NSW Boorowa to Yass","Near 2 cuttings",7,148.7300361,-34.56030278,148.723899,-34.56534,148.736173,-34.555265,1524532.759,-3873675.714,1525532.759,-3872675.714,"20131010",2013-10-10,1,"very dark"
"NSW Boorowa to Yass","Near 2 cuttings",7,148.7300361,-34.56030278,148.723899,-34.56534,148.736173,-34.555265,1524532.759,-3873675.714,1525532.759,-3872675.714,"20181006",2018-10-06,1,NA
"NSW Boorowa to Yass","Near 2 cuttings",7,148.7300361,-34.56030278,148.723899,-34.56534,148.736173,-34.555265,1524532.759,-3873675.714,1525532.759,-3872675.714,"20161103",2016-11-03,1,NA
"NSW Boorowa to Yass","Near 2 cuttings",7,148.7300361,-34.56030278,148.723899,-34.56534,148.736173,-34.555265,1524532.759,-3873675.714,1525532.759,-3872675.714,"20161102",2016-11-02,1,"cloud"
"NSW Boorowa to Yass","Near 2 cuttings",7,148.7300361,-34.56030278,148.723899,-34.56534,148.736173,-34.555265,1524532.759,-3873675.714,1525532.759,-3872675.714,"20161025",2016-10-25,1,NA
"NSW Boorowa to Yass","Near 2 cuttings",7,148.7300361,-34.56030278,148.723899,-34.56534,148.736173,-34.555265,1524532.759,-3873675.714,1525532.759,-3872675.714,"20161018",2016-10-18,1,"some cloud"
"NSW Boorowa to Yass","Near 2 cuttings",7,148.7300361,-34.56030278,148.723899,-34.56534,148.736173,-34.555265,1524532.759,-3873675.714,1525532.759,-3872675.714,"20161014",2016-10-14,1,NA
"NSW Boorowa to Yass","Near 2 cuttings",7,148.7300361,-34.56030278,148.723899,-34.56534,148.736173,-34.555265,1524532.759,-3873675.714,1525532.759,-3872675.714,"20161013",2016-10-13,1,NA
"NSW Boorowa to Yass","Near 2 cuttings",7,148.7300361,-34.56030278,148.723899,-34.56534,148.736173,-34.555265,1524532.759,-3873675.714,1525532.759,-3872675.714,"20161008",2016-10-08,1,NA
"NSW Boorowa to Yass","E of Bowning",8,148.8405556,-34.72815556,148.834405,-34.733199,148.846707,-34.723113,1532092.535,-3893526.744,1533092.535,-3892526.744,"20230310",2023-03-10,1,NA
"NSW Boorowa to Yass","E of Bowning",8,148.8405556,-34.72815556,148.834405,-34.733199,148.846707,-34.723113,1532092.535,-3893526.744,1533092.535,-3892526.744,"20210401",2021-04-01,1,NA
"NSW Boorowa to Yass","E of Bowning",8,148.8405556,-34.72815556,148.834405,-34.733199,148.846707,-34.723113,1532092.535,-3893526.744,1533092.535,-3892526.744,"20200906",2020-09-06,2,"some cloud"
"NSW Boorowa to Yass","E of Bowning",8,148.8405556,-34.72815556,148.834405,-34.733199,148.846707,-34.723113,1532092.535,-3893526.744,1533092.535,-3892526.744,"20181119",2018-11-19,1,NA
